record_id,model_slot,actual_model_alias,paper_id,question_id,evidence_condition,question_type,initial_evidence_support,evidence_status,repair_action,action,tool_called,returned_chunk_ids,returned_snippets_full_local,returned_snippets_normalized_for_review,final_answer,final_evidence_basis,final_used_chunk_ids,final_assertability,preliminary_EBC_label,preliminary_repair_outcome,human_answer_supported_by_returned_evidence,human_post_tool_EBC_label,human_repair_outcome,human_notes

paper_005_chunk_0015 | PDF text | score=6.235702 | the data- to-text writing task, certain fields sometimes are with null values. We observed that in the generated results, null is often interpreted as false by some models. Since the more common expressions for negation in our dataset are the boolean value False or the text No, we labeled these instances as hal- lucinations (evident introduction of baseless info) and provided a special span-level annotation named due_to_null for these spans. In the subsequent hal- lucination detection experiments, our prompts will be aligned with this standard. 4 Hallucination Benchmark Analysis 4.1 Basic Statistics We presented detailed statistics of RAGTruth in Table 2. Compared to existing datasets for hallu- cination detection (Cao et al., 2023; Kamoi et al., 2023), the RAGTruth dataset is considerably large in scale. The corpus contains a total of 2,965 in- stances of data, which include 989 instances for question answering, 1,033 instances for date-to-text writing, and 943 instances for news summarization. Each instance comprises responses from 6 differ- ent models. As shown in Table 2, the RAGTruth dataset also features longer prompt and response lengths than existing datasets for hallucination de- tection (Wang et al., 2020). 4.2 Hallucination Statistics Hallucination Types As shown in Figure 2, the generation of information baseless in the context was significantly more prevalent than the gener- ation of information conflicting with the context, especially for the question answering tasks. Within the two major categories of baseless info and con- flict, the more

paper_005_chunk_0019 | PDF text | score=6.234261 | 1.69(175,258] 0.87(138,257] Table 4: Average number of hallucinations per response in different context length buckets (CLB) and response length buckets (RLB) for the three types of tasks. The subscript denotes the minimum and maximum length of this bucket. in Table 4, there is a clear overall trend of an in- crease in the average number of hallucinations as the response length grows. Only the average num- ber of hallucinations in news summarization tasks significantly increases with the length of the con- text. This may be because the contexts in the other two tasks are more structured, and an increase in length does not significantly raise the difficulty of understanding the content. Location of Hallucinations In Figure 3, we present the heatmap of the hallucination occurrence positions. Hallucinations are significantly more likely to occur towards the end of responses in question-answering and news summarization tasks. Compared to other tasks, the data-to-text writing task has a relatively higher occurrence of halluci- nations in the first half. In that bright area, hallu- cinations concerning business attributes frequently occur. QA Data-to-text W riting 0% 25% 50% 75% 100% Normalized position Sum. Figure 3: Heatmaps of normalized hallucination oc- currence positions. The probability of hallucinations occurring is higher in brighter areas. 5 Experimental Setup 5.1 Hallucination Detection Algorithms Using RAGTruth, we conducted experiments with the following four distinct algorithms for halluci- nation detection: Hallucination Detection Prompt: Hallucination detection prompts are manually crafted to instruct LLMs",RAGTruth defines four hallucination types within its RAG-setting taxonomy:1. Evident Conflict2. Subtle Conflict3. Evident Introduction of Baseless Information4. Subtle Introduction of Baseless Information,tool_results,"[""paper_005_chunk_0009""]",assertable,needs_human_review,tool_answer_needs_human_review,yes,compliant,tool_repair_success,
tool_on_smoke__paper_005_q2__partial__high__esr_check__gemini_agentic_model,gemini_agentic_model,gemini_2_5_flash,paper_005,paper_005_q2,partial,target_section_required,unsupported,insufficient,search_authorized_corpus,search_authorized_corpus,yes,"[""paper_005_chunk_0009"", ""paper_005_chunk_0015"", ""paper_005_chunk_0019""]","[{""chunk_id"": ""paper_005_chunk_0009"", ""paper_id"": ""paper_005"", ""section"": ""3.1 Hallucination Taxonomy"", ""score"": 10.315244, ""text"": ""These techniques aim to detect hallucinations without relying on internal states or external data and tools. 3 Construction Process of RAGTruth We established a data generation and annotation pipeline as shown in Figure 1. 3.1 Hallucination Taxonomy Different from open-end generation, under RAG setting, the prompt contains rich context informa- tion, and the model is generally required to gen- erate text based on the provided context. The de- tection and mitigation of inconsistencies between retrieved information and responses emerge as sig- nificant sources of hallucination. As outlined below, we categorize the halluci- nation in the RAG setting into four types. For concrete examples of each type, please refer to Appendix A. Evident Conflict: for when generative content presents direct contraction or opposition to the pro- vided information. These conflicts are easily ver- ifiable without extensive context, often involving clear factual errors, misspelled names, incorrect numbers, etc. Subtle Conflict: for when generative content presents a departure or divergence from the pro- vided information, altering the intended contextual meaning. These conflicts often involve substitu- tion of terms that carry different implications or severity, requiring a deeper understanding of their contextual applications. Evident Introduction of Baseless Information: for when generated content includes information not substantiated in the provided information. It involves the creation of hypothetical, fabricated, or hallucinatory details lacking evidence or support. Subtle Introduction of Baseless Information: is when generated content extends beyond the pro- vided information by incorporating inferred details, insights,""}, {""chunk_id"": ""paper_005_chunk_0015"", ""paper_id"": ""paper_005"", ""section"": ""PDF text"", ""score"": 7.735702, ""text"": ""the data- to-text writing task, certain fields sometimes are with null values. We observed that in the generated results, null is often interpreted as false by some models. Since the more common expressions for negation in our dataset are the boolean value False or the text No, we labeled these instances as hal- lucinations (evident introduction of baseless info) and provided a special span-level annotation named due_to_null for these spans. In the subsequent hal- lucination detection experiments, our prompts will be aligned with this standard. 4 Hallucination Benchmark Analysis 4.1 Basic Statistics We presented detailed statistics of RAGTruth in Table 2. Compared to existing datasets for hallu- cination detection (Cao et al., 2023; Kamoi et al., 2023), the RAGTruth dataset is considerably large in scale. The corpus contains a total of 2,965 in- stances of data, which include 989 instances for question answering, 1,033 instances for date-to-text writing, and 943 instances for news summarization. Each instance comprises responses from 6 differ- ent models. As shown in Table 2, the RAGTruth dataset also features longer prompt and response lengths than existing datasets for hallucination de- tection (Wang et al., 2020). 4.2 Hallucination Statistics Hallucination Types As shown in Figure 2, the generation of information baseless in the context was significantly more prevalent than the gener- ation of information conflicting with the context, especially for the question answering tasks. Within the two major categories of baseless info and con- flict, the more""}, {""chunk_id"": ""paper_005_chunk_0019"", ""paper_id"": ""paper_005"", ""section"": ""PDF text"", ""score"": 7.734261, ""text"": ""1.69(175,258] 0.87(138,257] Table 4: Average number of hallucinations per response in different context length buckets (CLB) and response length buckets (RLB) for the three types of tasks. The subscript denotes the minimum and maximum length of this bucket. in Table 4, there is a clear overall trend of an in- crease in the average number of hallucinations as the response length grows. Only the average num- ber of hallucinations in news summarization tasks significantly increases with the length of the con- text. This may be because the contexts in the other two tasks are more structured, and an increase in length does not significantly raise the difficulty of understanding the content. Location of Hallucinations In Figure 3, we present the heatmap of the hallucination occurrence positions. Hallucinations are significantly more likely to occur towards the end of responses in question-answering and news summarization tasks. Compared to other tasks, the data-to-text writing task has a relatively higher occurrence of halluci- nations in the first half. In that bright area, hallu- cinations concerning business attributes frequently occur. QA Data-to-text W riting 0% 25% 50% 75% 100% Normalized position Sum. Figure 3: Heatmaps of normalized hallucination oc- currence positions. The probability of hallucinations occurring is higher in brighter areas. 5 Experimental Setup 5.1 Hallucination Detection Algorithms Using RAGTruth, we conducted experiments with the following four distinct algorithms for halluci- nation detection: Hallucination Detection Prompt: Hallucination detection prompts are manually crafted to instruct LLMs""}]","paper_005_chunk_0009 | 3.1 Hallucination Taxonomy | score=10.315244 | These techniques aim to detect hallucinations without relying on internal states or external data and tools. 3 Construction Process of RAGTruth We established a data generation and annotation pipeline as shown in Figure 1. 3.1 Hallucination Taxonomy Different from open-end generation, under RAG setting, the prompt contains rich context informa- tion, and the model is generally required to gen- erate text based on the provided context. The de- tection and mitigation of inconsistencies between retrieved information and responses emerge as sig- nificant sources of hallucination. As outlined below, we categorize the halluci- nation in the RAG setting into four types. For concrete examples of each type, please refer to Appendix A. Evident Conflict: for when generative content presents direct contraction or opposition to the pro- vided information. These conflicts are easily ver- ifiable without extensive context, often involving clear factual errors, misspelled names, incorrect numbers, etc. Subtle Conflict: for when generative content presents a departure or divergence from the pro- vided information, altering the intended contextual meaning. These conflicts often involve substitu- tion of terms that carry different implications or severity, requiring a deeper understanding of their contextual applications. Evident Introduction of Baseless Information: for when generated content includes information not substantiated in the provided information. It involves the creation of hypothetical, fabricated, or hallucinatory details lacking evidence or support. Subtle Introduction of Baseless Information: is when generated content extends beyond the pro- vided information by incorporating inferred details, insights,

paper_005_chunk_0015 | PDF text | score=7.735702 | the data- to-text writing task, certain fields sometimes are with null values. We observed that in the generated results, null is often interpreted as false by some models. Since the more common expressions for negation in our dataset are the boolean value False or the text No, we labeled these instances as hal- lucinations (evident introduction of baseless info) and provided a special span-level annotation named due_to_null for these spans. In the subsequent hal- lucination detection experiments, our prompts will be aligned with this standard. 4 Hallucination Benchmark Analysis 4.1 Basic Statistics We presented detailed statistics of RAGTruth in Table 2. Compared to existing datasets for hallu- cination detection (Cao et al., 2023; Kamoi et al., 2023), the RAGTruth dataset is considerably large in scale. The corpus contains a total of 2,965 in- stances of data, which include 989 instances for question answering, 1,033 instances for date-to-text writing, and 943 instances for news summarization. Each instance comprises responses from 6 differ- ent models. As shown in Table 2, the RAGTruth dataset also features longer prompt and response lengths than existing datasets for hallucination de- tection (Wang et al., 2020). 4.2 Hallucination Statistics Hallucination Types As shown in Figure 2, the generation of information baseless in the context was significantly more prevalent than the gener- ation of information conflicting with the context, especially for the question answering tasks. Within the two major categories of baseless info and con- flict, the more

paper_005_chunk_0019 | PDF text | score=7.734261 | 1.69(175,258] 0.87(138,257] Table 4: Average number of hallucinations per response in different context length buckets (CLB) and response length buckets (RLB) for the three types of tasks. The subscript denotes the minimum and maximum length of this bucket. in Table 4, there is a clear overall trend of an in- crease in the average number of hallucinations as the response length grows. Only the average num- ber of hallucinations in news summarization tasks significantly increases with the length of the con- text. This may be because the contexts in the other two tasks are more structured, and an increase in length does not significantly raise the difficulty of understanding the content. Location of Hallucinations In Figure 3, we present the heatmap of the hallucination occurrence positions. Hallucinations are significantly more likely to occur towards the end of responses in question-answering and news summarization tasks. Compared to other tasks, the data-to-text writing task has a relatively higher occurrence of halluci- nations in the first half. In that bright area, hallu- cinations concerning business attributes frequently occur. QA Data-to-text W riting 0% 25% 50% 75% 100% Normalized position Sum. Figure 3: Heatmaps of normalized hallucination oc- currence positions. The probability of hallucinations occurring is higher in brighter areas. 5 Experimental Setup 5.1 Hallucination Detection Algorithms Using RAGTruth, we conducted experiments with the following four distinct algorithms for halluci- nation detection: Hallucination Detection Prompt: Hallucination detection prompts are manually crafted to instruct LLMs",RAGTruth defines four hallucination types in its RAG-setting taxonomy:1. Evident Conflict2. Subtle Conflict3. Evident Introduction of Baseless Information4. Subtle Introduction of Baseless Information,tool_results,"[""paper_005_chunk_0009""]",assertable,needs_human_review,tool_answer_needs_human_review,yes,compliant,tool_repair_success,
tool_on_smoke__paper_001_q1__none__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_001,paper_001_q1,none,abstract_answerable,unsupported,insufficient,search_authorized_corpus,search_authorized_corpus,yes,"[""paper_001_chunk_0066"", ""paper_001_chunk_0067"", ""paper_001_chunk_0029""]","[{""chunk_id"": ""paper_001_chunk_0066"", ""paper_id"": ""paper_001"", ""section"": ""PDF text"", ""score"": 3.484953, ""text"": ""“EL FINANCIERO” and “El Pa´ ıs.” Headlines like “Luz verde al plan. . .” and “Fallece Joaqu´ ın Navarro-Valls. . .” Example 11OCR — Newspaper Gemini-3-Pro-Low Prompt:What language is the newspaper writ- ten in? Chinese.Some readable fragments include phrases like “大连” (Dalian), “24小时” (24 hours), and “热线” (hotline), which are com- mon in Chinese publications. Same question, no image. Two configurations of the same model fabricate different languages Example 12 Biology — Birds Gemini-3-Pro Prompt:Identify the bird species in this photograph. Red-shouldered Hawk (Buteo lineatus). . . distinct rusty-red (rufous) horizontal barring across its chest and belly. . . reddish-brown patch on the “shoulder” (upper wing coverts). . . checkered pattern of black and white on the flight feathers. Example 13 Biology — Plants Gemini-3-Pro Prompt:What is the common name of this plant? Fiddle-leaf fig. . . large, green, leathery leaves with a distinctive violin or lyre shape. Example 14 Science — Astronomy Gemini-3-Pro Prompt:Identify the celestial object shown in this image. Mars. . . distinctive reddish-orange hue. . . dark, patchy markings scattered across the surface. . . prominent white patch at the bottom, which is the south polar ice cap. For the same question: GPT-4.1 fabricates Saturn (citing “prominent rings”); Claude Sonnet 4.5 fabricates the Moon (citing “maria” and “cratered highlands”). Example 15 Technical — Circuits Gemini-2.5-Pro-Low Prompt:What is the main function of the circuit shown in this schematic? Low-power audio amplifier.The central component is labeled “LM386”. .""}, {""chunk_id"": ""paper_001_chunk_0067"", ""paper_id"": ""paper_001"", ""section"": ""PDF text"", ""score"": 3.481992, ""text"": ""ice cap. For the same question: GPT-4.1 fabricates Saturn (citing “prominent rings”); Claude Sonnet 4.5 fabricates the Moon (citing “maria” and “cratered highlands”). Example 15 Technical — Circuits Gemini-2.5-Pro-Low Prompt:What is the main function of the circuit shown in this schematic? Low-power audio amplifier.The central component is labeled “LM386”. . . output connected to a speaker. . . a volume control potentiometer labeled “VOLUME”. . . components for power and gain setting. Example 16 Technical — Architecture Gemini-2.5-Pro-Low Prompt:What type of building does this floor plan represent? Achurch. The labels on the floor plan include: Chancel, Nave, Vestry, Sacristy, Pulpit, Font, Lectern. 25 Example 17 Scene — Crowds Gemini-3-Pro Prompt:Estimate the total number of people in this crowd. Altogether, there areninety-eightpeople in the image. Example 18 Art — Style Gemini-3-Pro Prompt:To which art movement does this painting belong? Proto-Renaissance(Late Gothic / Early Italian Renaissance). . . the figures have volume and weight. . . shading on the robes suggests solid bodies underneath. . . This is a fresco byGiotto di Bondone, specificallyThe Entry into Jerusalem(c. 1305). Giotto is the primary figure of this movement, credited with breaking away from the stylized Byzantine tradition. Example 19 Geography — Satellite Gemini-3-Pro Prompt:What major geographic features are visible in this satellite view? Central American Isthmus:The dominant feature. . . the Isthmus of Panama and Costa Rica. Lake Nicaragua:A large, distinct, dark blue inland body of water.Caribbean Sea. . .""}, {""chunk_id"": ""paper_001_chunk_0029"", ""paper_id"": ""paper_001"", ""section"": ""PDF text"", ""score"": 1.746731, ""text"": ""guessing- mode.In guessing mode, the prompt acknowledges the lack of images and instructs the model to take the best guess based on the question.a,The accuracy decreases in all 3 of the bench- marks with awareness of the lacking image and instruction to guess.b, & c,The model in mirage-mode consistently outperforms or is comparable to the guess-mode in the medical bench- marks across all question categories.d,Mirage-mode shows a greater performance across 23 categories of MMMU-Pro, out-performed in just 5 by guess-mode, and equivalent in 2. 5 Mirage-proofing the benchmarks can change the visual AI landscape Previous work has identified specific flaws in multimodal benchmarks, such as questions that can be accurately answered without images, 22–25 and questions leaked from test sets into the model pretraining data. 26–28 The majority of the suggested solutions to date center on introducing new benchmarks specifically curated to either measure specific types of biases in the models 24 or assess general visual capabilities by removing the effects of the identified sources of bias. 6,11,22 However, creating new benchmarks does not solve the fundamental problem. Public bench- marks are inevitably absorbed into the large-scale web-crawled pretraining data, so each cura- tion effort is outdated by the time the next generation of models is released. This makes the new benchmark curation efforts a temporary solution to the evolving data leakage problem. In addition, the hidden patterns and benchmark-level structures, as shown inFigure 4, repre- sent a distinct and""}]","paper_001_chunk_0066 | PDF text | score=3.484953 | “EL FINANCIERO” and “El Pa´ ıs.” Headlines like “Luz verde al plan. . .” and “Fallece Joaqu´ ın Navarro-Valls. . .” Example 11OCR — Newspaper Gemini-3-Pro-Low Prompt:What language is the newspaper writ- ten in? Chinese.Some readable fragments include phrases like “大连” (Dalian), “24小时” (24 hours), and “热线” (hotline), which are com- mon in Chinese publications. Same question, no image. Two configurations of the same model fabricate different languages Example 12 Biology — Birds Gemini-3-Pro Prompt:Identify the bird species in this photograph. Red-shouldered Hawk (Buteo lineatus). . . distinct rusty-red (rufous) horizontal barring across its chest and belly. . . reddish-brown patch on the “shoulder” (upper wing coverts). . . checkered pattern of black and white on the flight feathers. Example 13 Biology — Plants Gemini-3-Pro Prompt:What is the common name of this plant? Fiddle-leaf fig. . . large, green, leathery leaves with a distinctive violin or lyre shape. Example 14 Science — Astronomy Gemini-3-Pro Prompt:Identify the celestial object shown in this image. Mars. . . distinctive reddish-orange hue. . . dark, patchy markings scattered across the surface. . . prominent white patch at the bottom, which is the south polar ice cap. For the same question: GPT-4.1 fabricates Saturn (citing “prominent rings”); Claude Sonnet 4.5 fabricates the Moon (citing “maria” and “cratered highlands”). Example 15 Technical — Circuits Gemini-2.5-Pro-Low Prompt:What is the main function of the circuit shown in this schematic? Low-power audio amplifier.The central component is labeled “LM386”. .

paper_001_chunk_0067 | PDF text | score=3.481992 | ice cap. For the same question: GPT-4.1 fabricates Saturn (citing “prominent rings”); Claude Sonnet 4.5 fabricates the Moon (citing “maria” and “cratered highlands”). Example 15 Technical — Circuits Gemini-2.5-Pro-Low Prompt:What is the main function of the circuit shown in this schematic? Low-power audio amplifier.The central component is labeled “LM386”. . . output connected to a speaker. . . a volume control potentiometer labeled “VOLUME”. . . components for power and gain setting. Example 16 Technical — Architecture Gemini-2.5-Pro-Low Prompt:What type of building does this floor plan represent? Achurch. The labels on the floor plan include: Chancel, Nave, Vestry, Sacristy, Pulpit, Font, Lectern. 25 Example 17 Scene — Crowds Gemini-3-Pro Prompt:Estimate the total number of people in this crowd. Altogether, there areninety-eightpeople in the image. Example 18 Art — Style Gemini-3-Pro Prompt:To which art movement does this painting belong? Proto-Renaissance(Late Gothic / Early Italian Renaissance). . . the figures have volume and weight. . . shading on the robes suggests solid bodies underneath. . . This is a fresco byGiotto di Bondone, specificallyThe Entry into Jerusalem(c. 1305). Giotto is the primary figure of this movement, credited with breaking away from the stylized Byzantine tradition. Example 19 Geography — Satellite Gemini-3-Pro Prompt:What major geographic features are visible in this satellite view? Central American Isthmus:The dominant feature. . . the Isthmus of Panama and Costa Rica. Lake Nicaragua:A large, distinct, dark blue inland body of water.Caribbean Sea. . .

paper_001_chunk_0029 | PDF text | score=1.746731 | guessing- mode.In guessing mode, the prompt acknowledges the lack of images and instructs the model to take the best guess based on the question.a,The accuracy decreases in all 3 of the bench- marks with awareness of the lacking image and instruction to guess.b, & c,The model in mirage-mode consistently outperforms or is comparable to the guess-mode in the medical bench- marks across all question categories.d,Mirage-mode shows a greater performance across 23 categories of MMMU-Pro, out-performed in just 5 by guess-mode, and equivalent in 2. 5 Mirage-proofing the benchmarks can change the visual AI landscape Previous work has identified specific flaws in multimodal benchmarks, such as questions that can be accurately answered without images, 22–25 and questions leaked from test sets into the model pretraining data. 26–28 The majority of the suggested solutions to date center on introducing new benchmarks specifically curated to either measure specific types of biases in the models 24 or assess general visual capabilities by removing the effects of the identified sources of bias. 6,11,22 However, creating new benchmarks does not solve the fundamental problem. Public bench- marks are inevitably absorbed into the large-scale web-crawled pretraining data, so each cura- tion effort is outdated by the time the next generation of models is released. This makes the new benchmark curation efforts a temporary solution to the evolving data leakage problem. In addition, the hidden patterns and benchmark-level structures, as shown inFigure 4, repre- sent a distinct and","Based on the returned evidence, the paper investigates whether multimodal/vision-language models genuinely understand images or merely produce plausible-sounding answers using non-visual priors (e.g., language patterns, benchmark structure, or memorized/leaked data). The central finding is that when tested without any image input, models (e.g., Gemini, GPT-4.1, Claude Sonnet) still generate confident, detailed, and seemingly visually-grounded answers—often fabricating specific visual details (e.g., different models 'seeing' Saturn or the Moon for the same Mars image prompt, or different languages for the same OCR prompt)—and this no-image 'mirage-mode' performance is comparable to or even better than an explicit 'guessing-mode' across medical benchmarks and most MMMU-Pro categories. This indicates that current multimodal benchmarks are compromised by data leakage and hidden benchmark-level patterns, so high scores reflect exploitation of such artifacts rather than true visual understanding, and the paper argues that simply creating new benchmarks is only a temporary fix since they too become absorbed into pretraining data.",tool_results,"[""paper_001_chunk_0066"", ""paper_001_chunk_0067"", ""paper_001_chunk_0029""]",partially_assertable,needs_human_review,tool_answer_needs_human_review,yes,compliant,tool_repair_success,
tool_on_smoke__paper_001_q2__none__high__esr_check__claude_high_capability_model,claude_high_capability_model,anthropic_claude_sonnet_5,paper_001,paper_001_q2,none,target_section_required,unsupported,insufficient,search_authorized_corpus,search_authorized_corpus,yes,"[""paper_001_chunk_0020"", ""paper_001_chunk_0022"", ""paper_001_chunk_0023""]","[{""chunk_id"": ""paper_001_chunk_0020"", ""paper_id"": ""paper_001"", ""section"": ""Target section"", ""score"": 10.331042, ""text"": ""MicroVQA, and MedXpertQA-MM, and 3 general-purpose benchmarks of MMMU- Pro, Video-MMMU, and Video-MME in original mode, as well as in mirage-mode, i.e., asking the same visual question without providing the image and without acknowledging the lack of it. All models were tested in extended thinking mode, which yielded higher accuracy across all original and mirage-mode cases. We observe that the accuracies in mirage-mode not only do not collapse, but also are competitive with the original accuracies, especially on medical benchmarks.b,Our super-guesser, trained on the public set of ReXVQA, outperforms the top AI models, as well as the average of the radiology doctors on the held-out test-set. The base model used for the super-guesser is a 3-billion-parameter text-only Queen 2.5 model, released before the ReXVQA dataset, minimizing the possibility of data contamination.c,We define the Mirage score for a benchmark-model pair as the ratio of the model’s accuracy on the benchmark in mirage-mode over the same model’s original accuracy on the benchmark. We then calculate the Mirage score for a model as the average score over all the models tested, and for a bench- mark as the average over all the models. The average Mirage score of a model demonstrates the model’s dependence on the Mirage effect to answer multimodal benchmark questions. The average Mirage score of a benchmark shows the susceptibility of the benchmark to the mirage effect, i.e., the extent to which the benchmark’s questions can be answered by the""}, {""chunk_id"": ""paper_001_chunk_0022"", ""paper_id"": ""paper_001"", ""section"": ""Target section"", ""score"": 10.313304, ""text"": ""the model gives the correct answer, its reasoning relies on non- existent visual features, further undermining the reliability of such generated reasoning. In the supplementary Figure S3, we show that the mere mention of the name of the dataset being evaluated increases the accuracy of the models significantly, suggesting that the models learn the structural patterns of the datasets through training sets and unintentionally leaked test set samples in their pretraining data, as all data (training and testing) is publicly available on the internet. 3.3 A guesser model without access to images outperforms all other algo- rithms on the unseen radiology benchmark To further delineate the extent to which AI models can leverage a combination of textual clues, common knowledge, and hidden structures to lend the illusion of visual comprehension in benchmark-based evaluations, we train a “super-guesser” by fine-tuning a 3-billion-parameter Qwen-2.5 language model (text-only LLM) on the public set of ReXVQA dataset, the largest and most comprehensive benchmark for visual question answering in chest radiology. The Qwen- 2.5 base model was chosen, since it was released one year before the release of the benchmark, therefore minimizing the likelihood of benchmark leakage during pretraining. When fine-tuned on the public training set of this dataset with images removed (i.e., trained in mirage-mode), our 3-billion-parameter, text-only super-guesser outperformed all frontier multimodal models, including those exceeding hundreds of billions of parameters, on the held-out test benchmark (Figure 3c). It also surpassed human radiologists""}, {""chunk_id"": ""paper_001_chunk_0023"", ""paper_id"": ""paper_001"", ""section"": ""Target section"", ""score"": 7.734978, ""text"": ""benchmark leakage during pretraining. When fine-tuned on the public training set of this dataset with images removed (i.e., trained in mirage-mode), our 3-billion-parameter, text-only super-guesser outperformed all frontier multimodal models, including those exceeding hundreds of billions of parameters, on the held-out test benchmark (Figure 3c). It also surpassed human radiologists by more than 10% on average, relying entirely on hidden textual cues in the questions and the structural patterns of the benchmark. In addition, our super-guesser was able to create reasoning traces comparable to, and in some cases indistinguishable from, those of the ground-truth or those generated by frontier multi-modal AI models. A text-only AI model creating the same visual reasoning-traces and explanations as those generated by large multi-modal ones brings into question the validity of the visual reasoning of the current AI models in broad terms. An AI model achieving high accuracies on the main benchmarks, and at the same time generating highly realistic and consistent visual descriptions through the mirage effect, suggests that it is possible for the multi-modal AI models to achieve both while ignoring the visual in- formation altogether in some or all cases, a silent failure mode that is also likely happen in a case-by-case and field-by-field manner with varying levels of vision-groundedness in various do- mains. A model that generates seemingly-grounded visual descriptions and accurately answers questions in a general domain does not necessarily guarantee the same behavior in another field, such as chest""}]","paper_001_chunk_0020 | Target section | score=10.331042 | MicroVQA, and MedXpertQA-MM, and 3 general-purpose benchmarks of MMMU- Pro, Video-MMMU, and Video-MME in original mode, as well as in mirage-mode, i.e., asking the same visual question without providing the image and without acknowledging the lack of it. All models were tested in extended thinking mode, which yielded higher accuracy across all original and mirage-mode cases. We observe that the accuracies in mirage-mode not only do not collapse, but also are competitive with the original accuracies, especially on medical benchmarks.b,Our super-guesser, trained on the public set of ReXVQA, outperforms the top AI models, as well as the average of the radiology doctors on the held-out test-set. The base model used for the super-guesser is a 3-billion-parameter text-only Queen 2.5 model, released before the ReXVQA dataset, minimizing the possibility of data contamination.c,We define the Mirage score for a benchmark-model pair as the ratio of the model’s accuracy on the benchmark in mirage-mode over the same model’s original accuracy on the benchmark. We then calculate the Mirage score for a model as the average score over all the models tested, and for a bench- mark as the average over all the models. The average Mirage score of a model demonstrates the model’s dependence on the Mirage effect to answer multimodal benchmark questions. The average Mirage score of a benchmark shows the susceptibility of the benchmark to the mirage effect, i.e., the extent to which the benchmark’s questions can be answered by the

paper_001_chunk_0022 | Target section | score=10.313304 | the model gives the correct answer, its reasoning relies on non- existent visual features, further undermining the reliability of such generated reasoning. In the supplementary Figure S3, we show that the mere mention of the name of the dataset being evaluated increases the accuracy of the models significantly, suggesting that the models learn the structural patterns of the datasets through training sets and unintentionally leaked test set samples in their pretraining data, as all data (training and testing) is publicly available on the internet. 3.3 A guesser model without access to images outperforms all other algo- rithms on the unseen radiology benchmark To further delineate the extent to which AI models can leverage a combination of textual clues, common knowledge, and hidden structures to lend the illusion of visual comprehension in benchmark-based evaluations, we train a “super-guesser” by fine-tuning a 3-billion-parameter Qwen-2.5 language model (text-only LLM) on the public set of ReXVQA dataset, the largest and most comprehensive benchmark for visual question answering in chest radiology. The Qwen- 2.5 base model was chosen, since it was released one year before the release of the benchmark, therefore minimizing the likelihood of benchmark leakage during pretraining. When fine-tuned on the public training set of this dataset with images removed (i.e., trained in mirage-mode), our 3-billion-parameter, text-only super-guesser outperformed all frontier multimodal models, including those exceeding hundreds of billions of parameters, on the held-out test benchmark (Figure 3c). It also surpassed human radiologists

paper_001_chunk_0023 | Target section | score=7.734978 | benchmark leakage during pretraining. When fine-tuned on the public training set of this dataset with images removed (i.e., trained in mirage-mode), our 3-billion-parameter, text-only super-guesser outperformed all frontier multimodal models, including those exceeding hundreds of billions of parameters, on the held-out test benchmark (Figure 3c). It also surpassed human radiologists by more than 10% on average, relying entirely on hidden textual cues in the questions and the structural patterns of the benchmark. In addition, our super-guesser was able to create reasoning traces comparable to, and in some cases indistinguishable from, those of the ground-truth or those generated by frontier multi-modal AI models. A text-only AI model creating the same visual reasoning-traces and explanations as those generated by large multi-modal ones brings into question the validity of the visual reasoning of the current AI models in broad terms. An AI model achieving high accuracies on the main benchmarks, and at the same time generating highly realistic and consistent visual descriptions through the mirage effect, suggests that it is possible for the multi-modal AI models to achieve both while ignoring the visual in- formation altogether in some or all cases, a silent failure mode that is also likely happen in a case-by-case and field-by-field manner with varying levels of vision-groundedness in various do- mains. A model that generates seemingly-grounded visual descriptions and accurately answers questions in a general domain does not necessarily guarantee the same behavior in another field, such as chest",A 3-billion-parameter text-only Qwen-2.5 model.,tool_results,"[""paper_001_chunk_0020"", ""paper_001_chunk_0022""]",assertable,needs_human_review,tool_answer_needs_human_review,yes,compliant,tool_repair_success,
